location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated
Curacao,2021-03-29,"Pfizer/BioNTech, Moderna",https://bakuna.cw/,19609,15406,4203
Curacao,2021-03-30,"Pfizer/BioNTech, Moderna",https://bakuna.cw/,20485,15755,4730
Curacao,2021-04-1,"Pfizer/BioNTech, Moderna",https://bakuna.cw/,22339,16498,5841
Curacao,2021-04-5,"Pfizer/BioNTech, Moderna",https://bakuna.cw/,28137,20457,7680
Curacao,2021-04-6,"Pfizer/BioNTech, Moderna",https://bakuna.cw/,30206,22031,8175
Curacao,2021-04-7,"Pfizer/BioNTech, Moderna",https://bakuna.cw/,32330,23497,8833
Curacao,2021-04-8,"Pfizer/BioNTech, Moderna",https://bakuna.cw/,34130,24613,9517
Curacao,2021-04-9,"Pfizer/BioNTech, Moderna",https://bakuna.cw/,36866,26645,10221
Curacao,2021-04-10,"Pfizer/BioNTech, Moderna",https://bakuna.cw/,40648,29990,10658
Curacao,2021-04-13,"Pfizer/BioNTech, Moderna",https://bakuna.cw/,49926,37940,11986
Curacao,2021-04-14,"Pfizer/BioNTech, Moderna",https://bakuna.cw/,53519,41117,12402
Curacao,2021-04-15,"Pfizer/BioNTech, Moderna",https://bakuna.cw/,58175,45386,12789
Curacao,2021-04-16,"Pfizer/BioNTech, Moderna",https://bakuna.cw/,61031,47915,13116
Curacao,2021-04-17,"Pfizer/BioNTech, Moderna",https://bakuna.cw/,64447,50876,13571
Curacao,2021-04-18,"Pfizer/BioNTech, Moderna",https://bakuna.cw/,67931,54354,13577
Curacao,2021-04-19,"Pfizer/BioNTech, Moderna",https://bakuna.cw/,69832,55971,13861
Curacao,2021-04-20,"Pfizer/BioNTech, Moderna",https://bakuna.cw/,71973,57681,14292
